ref,category,reply
1,The Dude,"  Nobody calls me Lebowski. You got the wrong guy. I'm The Dude, man."
2,Blond Treehorn Thug," Your name's Lebowski, Lebowski - Your wife is Bunny."
3,The Dude," My ... my wi- my wife, Bunny? Do you see a wedding ring on my finger? Does this place look like I'm fucking married? The toilet seat's up, man!"
4,The Dude," ..Yeah, man, it really tied the room together."
5,Walter Sobchak," Were you listening to The Dude's story, Donny?"
6,Walter Sobchak, Were you listening to The Dude's story?
7,Walter Sobchak," So you have no frame of reference here, Donny. You're like a child who wanders into the middle of a movie and wants to know -"
8,The Dude," Walter, Walter, what's the point, man?"
9,Walter Sobchak," There's no reason - Here's my point, Dude. There's no fucking reason why these two -"
10,Donny," Yeah, Walter, what's your point?"
11,Walter Sobchak," Huh? No, what the fuck are you …! I'm not ... we're talking about unchecked aggression here, Dude."
12,Donny, What the fuck is he talking about?
13,Walter Sobchak," Forget it, Donny, you're out of your element!"
14,The Dude," Look, Walter - Walter, the Chinaman who peed on my rug, I can't go give him a bill, so what the fuck are you talking about?"
15,Walter Sobchak," What the fuck are you talking about? The Chinaman is not the issue here, Dude! I'm talking about drawing a line in the sand, Dude. Across this line, you do not... Also, Dude, ""Chinaman"" is not the preferred nomenclature. ""Asian-American,"" please."
16,The Dude," Walter, this isn't a guy who built the railroads here. This is a guy..."
17,The Dude," Walter, he peed on my rug!"
18,Donny, He peed on the Dude's rug.
19,Walter Sobchak," Donny, you're out of your element! Dude, the Chinaman is not the issue here!"
20,Walter Sobchak," Jeff Lebowski, the other Jeffery Lebowski. The millionaire!"
21,The Dude," That's fucking interesting, man. That's fucking interesting."
22,Walter Sobchak," Plus, he has the wealth, obviously, and the resources. So that there's no reason - there's no FUCKING reason - why his wife should go out and owe money all over town, and then they come, and they pee on your fucking rug! Am I wrong?"
23,Bunny Lebowski,  I'll suck your cock for a thousand dollars.
24,Brandt," Ah-hahahahaha! Ah - Wonderful woman. We're all, we're all very fond of her. Very free-spirited."
25,Bunny Lebowski," Brandt can't watch, though - or he has to pay a hundred."
26,The Dude,"  ..Uh, I'm just gonna go find a cash machine."
27,Walter Sobchak, Fucking dog has fucking papers -OVER THE LINE!
28,Walter Sobchak," I'm sorry, Smokey. You were over the line, that's a foul."
29,Smokey," Bullshit. Mark it 8, Dude."
30,Walter Sobchak," Uh, excuse me. Mark it zero. Next frame."
31,Walter Sobchak," Smokey, this is not 'Nam. This is bowling. There are rules."
32,The Dude," Hey, Walter, c'mon, it's just - Hey man, it's Smokey. So his toe slipped over a little, you know, it's just a game, man."
33,Walter Sobchak," This is a league game, this determines who enters the next round robin. Am I wrong?"
34,Smokey," Yeah, but I wasn't over. Gimme the marker Dude, I'm marking an 8."
35,Walter Sobchak," Smokey, my friend,  you're entering a world of pain."
36,Walter Sobchak," You mark that frame an 8, you're entering a world of pain."
37,Walter Sobchak, A world of pain.
38,Smokey," Look, Dude, I - This is your partner..."
39,Walter Sobchak,  Has the whole world gone CRAZY?!  AM I THE ONLY ONE AROUND HERE WHO GIVES A SHIT ABOUT THE RULES?! MARK IT ZERO!
40,The Dude," They're calling the cops, man. Put the piece away. "
41,Walter Sobchak, MARK IT ZERO! 
42,Walter Sobchak,  YOU THINK I'M FUCKING AROUND HERE?!  MARK IT ZERO! 
43,Smokey,"  All right, it's fucking zero. Are you happy, you crazy fuck?"
44,Walter Sobchak,"  It's a league game, Smokey."
45,Walter Sobchak," You know, Dude, I myself dabbled in pacifism once. Not in 'Nam of course."
46,The Dude," And, you know, he's got emotional problems, man."
47,Walter Sobchak, You mean ... beyond pacifism?
48,The Dude," Fuckin' Quintana , that creep can roll, man."
49,Walter Sobchak," Yeah, but he's a pervert, Dude."
50,Walter Sobchak," No! He's a sex offender, with a record - He served 6 months in Chino for exposing himself to an eight year old."
51,Walter Sobchak," When he moved to Hollywood, he had to go door to door to tell everyone he was a pederast."
52,Donny," What's a pederast, Walter?"
53,Walter Sobchak," Shut the fuck up, Donny."
54,The Dude, She probably kidnapped herself.
55,The Dude," Rug Peers did not do this - Look at it! A young trophy wife, marries this guy for his money.. she figures he isn't given her enough, you know, she owes money all over town..."
56,Walter Sobchak, That fucking bitch.
